year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2010,8,-0.01793174,0.68052,-0.01793174,-0,-0.04921364,0.0312819
2010,9,-0.00565893,0.59361,-0.00565893,-0,-0.03793715,0.03227822
2010,10,0,0,0,0,0,0
2010,11,-0.00185915,-0.30103,-0,-0.00185915,0.01687414,-0.01873329
2010,12,-0.00467162,0.01285,-0.00467162,-0,-0.00309579,-0.00157583
2011,1,-0.00794431,-0.08019,-0,-0.00794431,0.0007705,-0.00871481
2011,2,0,0,0,0,0,0
2011,3,0.00677178,0.27359,0,0.00677178,-0.01279495,0.01956673
2011,4,-0.01033672,0.1752,-0.01033672,-0,-0.01553016,0.00519344
2011,5,0,0,0,0,0,0
2011,6,0.00338589,0.10646,0,0.00338589,-0.00460338,0.00798927
2011,7,0,0,0,0,0,0
2011,8,-0.0263505,-0.87788,-0,-0.0263505,0.03874492,-0.06509542
2011,9,0.05429585,-0.609,0.05429585,0,0.06316581,-0.00886996
2011,10,0,0,0,0,0,0
2011,11,0.00957808,-0.13996,0.00957808,0,0.01306665,-0.00348857
2011,12,0.00940909,-0.81154,0.00940909,0,0.05270119,-0.0432921
2012,1,-0.01802415,0.30319,-0.01802415,-0,-0.02694354,0.00891939
2012,2,0,0,0,0,0,0
2012,3,0.00805751,0.02241,0,0.00805751,0.00270337,0.00535414
2012,4,0,-0.0166,0,0,0.00098177,-0.00098177
2012,5,0,0,0,0,0,0
2012,6,0.01631926,-0.02733,0.01631926,0,0.009776,0.00654326
2012,7,0,0,0,0,0,0
2012,8,0.01274371,-0.1668,0.01274371,0,0.01623685,-0.00349314
2012,9,0.01577163,0.61107,0,0.01577163,-0.0282545,0.04402613
2012,10,0,-0.00141,0,0,8.339e-05,-8.339e-05
2012,11,0,0,0,0,0,0
2012,12,-0.00356494,0.39349,-0.00356494,-0,-0.02505452,0.02148958
2013,1,-0.00338589,-0.07702,-0,-0.00338589,0.00286222,-0.00624811
2013,2,0,0,0,0,0,0
2013,3,0.00183907,0.10916,0,0.00183907,-0.00553648,0.00737555
2013,4,0,0,0,0,0,0
2013,5,0.00112635,0.14053,0,0.00112635,-0.00774815,0.0088745
2013,6,0.00475918,-0.06366,0.00475918,0,0.00614461,-0.00138543
2013,7,-0.00411828,-0.03255,-0,-0.00411828,-0.00013405,-0.00398423
2013,8,0,0,0,0,0,0
2013,9,-0.01518739,1.00779,-0.01518739,-0,-0.06719709,0.0520097
2013,10,0.00221336,-0.29372,0.00221336,0,0.01847807,-0.01626471
2013,11,0,0,0,0,0,0
2013,12,0.00135158,0.7595,0,0.00135158,-0.04424307,0.04559465
2014,1,0.00327533,-0.40308,0.00327533,0,0.02547689,-0.02220156
2014,2,0,0,0,0,0,0
2014,3,0.01611501,-0.20472,0.01611501,0,0.02016519,-0.00405018
2014,4,0.00110668,0.01755,0,0.00110668,-0.00048461,0.00159129
2014,5,0,0,0,0,0,0
2014,6,0.00695083,0.31782,0,0.00695083,-0.01532131,0.02227214
2014,7,-0.00584415,0.39686,-0.00584415,-0,-0.02639344,0.02054929
2014,8,0,0,0,0,0,0
2014,9,0.0137226,0.24878,0,0.0137226,-0.00785221,0.02157481
2014,10,0.0218359,-0.29393,0.0218359,0,0.02830176,-0.00646586
2014,11,0,0,0,0,0,0
2014,12,-0.04968888,0.74124,-0.04968888,-0,-0.06868336,0.01899448
2015,1,-0.00589892,-0.25168,-0,-0.00589892,0.01193557,-0.01783449
2015,2,0,0,0,0,0,0
2015,3,-0.06350085,1.42474,-0.06350085,-0,-0.11601336,0.05251251
2015,4,0,0.09256,0,0,-0.00547425,0.00547425
2015,5,0,0,0,0,0,0
2015,6,-0.04185531,0.33272,-0.04185531,-0,-0.04060561,-0.0012497
2015,7,-0.00935432,0.12738,-0.00935432,-0,-0.01221075,0.00285643
2015,8,0,0,0,0,0,0
2015,9,-0.07006399,0.14133,-0.07006399,-0,-0.04339063,-0.02667336
